scenario,model,trial,elapsed_sec,rbac_patch,netpol_patch,podsec_patch,confidence,prompt_tokens,completion_tokens,total_tokens,input_cost_usd,output_cost_usd,total_cost_usd
RBAC_PODSEC,deepseek-ai/deepseek-coder-6.7b-instruct,1,3,true,false,true,0.9,64,239,303,0.00000896,0.00003346,0.00004242
RBAC_PODSEC,deepseek-ai/deepseek-coder-6.7b-instruct,2,4,true,false,true,0.9,64,258,322,0.00000896,0.00003612,0.00004508
RBAC_PODSEC,deepseek-ai/deepseek-coder-6.7b-instruct,3,4,true,false,true,0.9,64,262,326,0.00000896,0.00003668,0.00004564
RBAC_PODSEC,deepseek-ai/deepseek-coder-6.7b-instruct,4,3,true,false,true,0.9,64,252,316,0.00000896,0.00003528,0.00004424
RBAC_PODSEC,deepseek-ai/deepseek-coder-6.7b-instruct,5,4,true,false,true,0.9,64,247,311,0.00000896,0.00003458,0.00004354
RBAC_PODSEC,deepseek-ai/deepseek-coder-6.7b-instruct,6,3,true,false,true,0.9,64,236,300,0.00000896,0.00003304,0.00004200
